Trial	Subject	Color	Stimulus	Start Time [ms]	End Time [ms]	Blink Start [ms]	Blink Duration [ms]	Blink End [ms]	Eye L/R	Number	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	502	79	582	Left	1	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	606	84	690	Left	2	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	694	173	868	Left	3	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	868	63	932	Left	4	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	956	85	1042	Left	5	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	1054	39	1094	Left	6	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	1094	55	1150	Left	7	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	1166	140	1307	Left	8	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	1362	104	1467	Left	9	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	1473	74	1547	Left	10	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	1569	67	1637	Left	11	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	1651	90	1741	Left	12	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	2121	118	2239	Left	13	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	2943	59	3003	Left	14	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	3003	68	3071	Left	15	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	3071	159	3231	Left	16	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	3255	154	3409	Left	17	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	3431	54	3485	Left	18	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	3489	78	3567	Left	19	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	3567	89	3657	Left	20	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	3657	113	3771	Left	21	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	4384	169	4554	Left	22	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	4640	626	5266	Left	23	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	5514	224	5738	Left	24	
Trial004	1.1	Coral	mix9_in_b.png	0	12623	6150	5192	11343	Left	25	
