Trial	Numerosity	Disposition	Detailed_Disposition	Subject	Color	Stimulus	AOI	AOI_Scope	AOI_Order	Start_Time_ms	End_Time_ms	Fix_Start_ms	Fix_Dur_ms	Fix_End_ms	Position_X	Position_Y	Aver_Pupil_Size_px_X	Aver_Pupil_Size_px_Y	Aver_Pupil_Diam_mm	Dispersion_X	Dispersion_Y	Eye_LR	Number
Trial012	1	1	11	41	DarkKhaki	mix9_in_b.png	SB	Local	1	0	7101	2619	66	2685	496.7	42.2	13.8	13.8	4.1	41	25	Left	8
Trial022	1	1	11	21	Cyan	mix9_in_b.png	D	Local	2	0	9637	7169	104	7274	387.6	505.4	12.3	12.3	3.8	19	45	Left	27
Trial004	1	1	11	11	Coral	mix9_in_b.png	D	Local	3	0	12623	1805	262	2067	532.5	489.1	6	6	2.3	42	147	Left	3
Trial022	1	1	11	21	Cyan	mix9_in_b.png	D	Local	8	0	9637	1307	584	1891	492.5	408.7	12.3	12.3	3.7	40	55	Left	8
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	D	Local	8	0	5122	702	392	1094	520.4	393.3	11.6	11.6	3.7	41	42	Left	4
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	D	Local	8	0	5122	4341	296	4637	533.8	397.2	11.8	11.8	3.7	27	29	Left	12
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	TG1	Local	10	0	5122	1172	98	1270	621.3	419.2	12.9	12.9	4.1	33	10	Left	5
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	TG1	Local	10	0	5122	1362	177	1540	669.1	428.4	12.8	12.8	4.1	34	36	Left	6
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	TG1	Local	10	0	5122	2144	544	2689	655.5	432.4	12.5	12.5	4.0	41	38	Left	8
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	TG1	Local	10	0	5122	3337	110	3447	644	429.4	12.2	12.2	3.9	15	24	Left	10
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	0	386	386	551.6	499	4	4	3.69	720	350	Left	1
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	1307	55	1362	681.5	557.4	10.1	10.1	3.4	37	46	Left	2
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	1805	262	2067	532.5	489.1	6	6	2.3	42	147	Left	3
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	2297	344	2641	613.8	413.1	10.4	10.4	3.3	62	39	Left	4
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	4554	86	4640	487.4	366.6	8.9	8.9	3.6	24	43	Left	6
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	5266	61	5328	465.1	300.8	12.2	12.2	3.6	13	15	Left	7
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	6002	81	6084	460	328.6	12.2	12.2	3.8	39	25	Left	8
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	12061	112	12173	694	565.3	13.8	13.8	4.0	14	20	Left	9
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	12221	160	12381	483.6	344.6	13.4	13.4	3.8	29	22	Left	10
Trial004	1	1	11	11	Coral	mix9_in_b.png	RG	Local	11	0	12623	12407	216	12623	474.5	293.1	12.9	12.9	3.7	31	19	Left	11
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	247	107	355	555.7	342.6	12.7	12.7	3.9	11	36	Left	2
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	393	110	503	506.1	192.4	10.8	10.8	3.3	24	39	Left	3
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	777	167	945	451.5	259	10.5	10.5	3.2	31	32	Left	5
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	973	142	1115	483.6	304.5	11.4	11.4	3.5	21	28	Left	6
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	1151	129	1281	483.6	343.9	11.9	11.9	3.7	29	47	Left	7
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	1307	584	1891	492.5	408.7	12.3	12.3	3.7	40	55	Left	8
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	1967	216	2183	480.8	326.7	12.3	12.3	3.7	24	37	Left	9
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	2211	734	2946	506	435.5	12.4	12.4	3.7	40	40	Left	10
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	2994	614	3608	538.8	436.4	12.5	12.5	3.8	38	53	Left	11
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	3630	127	3758	533.9	419	12.4	12.4	3.8	31	35	Left	12
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	4632	137	4770	465.6	340.1	12.1	12.1	3.7	26	32	Left	16
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	4788	250	5039	437	300.9	12.3	12.3	3.8	26	32	Left	17
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	5061	154	5215	448.8	284.1	12.1	12.1	3.8	39	24	Left	18
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	5247	198	5445	465.6	281.1	12.1	12.1	3.7	32	58	Left	19
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	5471	264	5735	483.9	322.9	12.4	12.4	3.8	35	27	Left	20
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	5749	188	5937	481.2	346.4	12.6	12.6	3.9	33	50	Left	21
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	6369	290	6659	452.5	326.4	12.3	12.3	3.8	29	48	Left	24
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	6681	229	6911	486.5	318.4	12.4	12.4	3.8	42	36	Left	25
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	7169	104	7274	387.6	505.4	12.3	12.3	3.8	19	45	Left	27
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	7662	160	7822	465.4	237.6	11.9	11.9	3.6	330	687	Left	29
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	8638	326	8964	473.7	336.8	12.1	12.1	3.7	30	31	Left	34
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	9028	81	9110	554.3	368.8	12.2	12.2	3.7	27	25	Left	35
Trial022	1	1	11	21	Cyan	mix9_in_b.png	RG	Local	11	0	9637	9136	464	9601	542.8	381	12	12	3.7	45	61	Left	36
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	RG	Local	11	0	5122	300	61	362	536	415.6	12.3	12.3	3.9	31	20	Left	2
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	RG	Local	11	0	5122	388	288	676	492.6	371.8	11.3	11.3	3.6	25	34	Left	3
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	RG	Local	11	0	5122	702	392	1094	520.4	393.3	11.6	11.6	3.7	41	42	Left	4
Trial012	1	1	11	31	DarkGoldenrod	mix9_in_b.png	RG	Local	11	0	5122	1172	98	1270	621.3	419.2	12.9	12.9	4.1	33	10	Left	5
